Municipality,Park name,Pavilion/Picnic Area,Kids Playground,Body of Water,Jog/Walk Path,Athletic Facility,Nature Preserve,Dog Park,Indoor/Outdoor Fitness Center
Lauderdale Lakes,Cypress Preserve Conservation Park,1,0,0,1,0,1,0,0
Lauderdale Lakes,Northgate Neighborhood Park,1,1,0,1,1,0,0,0
Lauderdale Lakes,Otis Grey Neighborhood Park,1,1,0,1,0,0,0,0
Lauderdale Lakes,Vincent Torres Memorial Park,1,1,0,0,1,0,0,0
Lauderdale Lakes,"Willie L. Webb, Sr. Park",1,1,0,0,1,0,0,0
Coconut Creek ,Coco Point Park,1,1,1,0,0,0,0,1
Coconut Creek ,Community Center and Fitness Center South,1,1,1,1,1,0,0,1
Coconut Creek ,Cypress Park,1,1,0,1,0,1,0,0
Coconut Creek ,Rowe Activity Center and Donaldson Park,1,1,1,1,1,0,0,0
Coconut Creek ,George S. Gerber Memorial Park,1,1,0,1,1,0,0,0
Coconut Creek ,Golden Raintree Park,0,1,0,0,0,0,0,0
Coconut Creek ,Hosford Park,0,0,0,1,1,0,0,0
Coconut Creek ,Lakeside Park,0,1,0,0,1,0,0,0
Coconut Creek ,Lakewood Park,1,1,1,1,0,0,0,1
Coconut Creek ,Oak Trails Park,1,0,0,1,1,1,1,1
Coconut Creek ,Pond Apple Park,1,1,1,0,0,1,0,0
Coconut Creek ,Recreation Complex and Fitness Center North,1,1,0,1,1,1,0,1
Coconut Creek ,Sabal Pines Park,1,1,1,1,1,1,1,0
Coconut Creek ,Sunshine Drive Park,0,1,0,0,0,0,0,0
Coconut Creek ,Township Estates Park,0,0,1,0,0,1,0,0
Coconut Creek ,Veterans Park,0,0,0,1,0,0,0,0
Coconut Creek ,Windmill Park and Dog Park,0,1,1,1,1,0,1,1
Coconut Creek ,Winston Park Nature Trail,1,1,1,1,1,1,0,0
Cooper City,Bill Lips Sports Complex,1,1,0,1,1,0,0,0
Cooper City,Chase Park,1,1,1,1,0,0,0,0
Cooper City,Christie Schafale Park and Dog Park,1,1,1,1,1,0,1,1
Cooper City,Colony Park,1,1,0,0,0,0,0,0
Cooper City,Memorial Park,1,1,0,1,0,0,0,0
Cooper City,Cooper's Point Park,1,1,0,1,0,0,0,0
Cooper City,Dawn Park,1,1,0,0,0,0,0,0
Cooper City,Diamond Head Park,1,1,0,1,1,0,0,0
Cooper City,Ellie Kozak Park,1,1,0,0,0,0,0,1
Cooper City,Encore Park,0,1,1,0,0,0,0,0
Cooper City,Flamingo Park,1,1,1,1,1,0,0,0
Cooper City,Flamingo West Park,1,1,1,1,1,0,0,0
Cooper City,Forest Lake Park,1,1,0,1,1,0,0,0
Cooper City,Jerry Morgan Park,0,0,1,1,0,0,0,0
Cooper City,Homes of Forest Lake Park,1,0,0,0,0,0,0,0
Cooper City,Natalie's Cove Park,1,1,0,0,0,0,0,0
Cooper City,Pine Lake Park,0,1,0,0,0,0,0,0
Cooper City,Poinciana Park,0,1,0,0,0,0,0,0
Cooper City,Pool & Tennis Center Park,1,1,0,1,1,0,0,0
Cooper City,Stirling Palm Park,1,1,0,1,1,0,0,0
Cooper City,Suellen H. Fardelmann Sports Complex,1,1,0,1,1,0,0,0
Cooper City,Tamarind Park,1,1,0,1,1,0,0,1
Cooper City,Ted Ferone Park,1,1,0,1,1,0,0,1
Lighthouse Point,Dan Witt Park,1,1,0,0,1,0,0,0
Lighthouse Point,De Groff Park,1,1,0,0,0,1,0,0
Lighthouse Point,Exchange Club Park,1,1,0,0,0,1,0,0
Lighthouse Point,Frank McDonough Park,1,1,0,0,1,0,0,1
Margate,Andrews Field,0,0,0,1,1,0,0,0
Margate,Centennial Park,1,1,0,0,1,0,0,0
Margate,Coral Gate Park,1,1,0,0,1,0,0,0
Margate,David Park,1,1,0,0,0,0,0,0
Margate,Firefighters Park,1,1,0,1,1,0,1,0
Margate,Kaye Stevens Park,1,0,1,1,0,0,0,0
Margate,Legacy Park,1,0,0,0,0,0,0,0
Margate,Lemon Tree Lake Park,1,0,1,1,0,0,0,0
Margate,Margate Sports Complex,1,1,0,1,1,0,0,1
Margate,Oriole Park,0,1,0,0,1,0,0,0
Margate,Rock Island Fitness Park,0,0,0,0,0,0,0,1
Margate,Royal Palm Park,1,1,0,0,1,0,0,0
Margate,Serino Park,1,1,0,1,0,0,0,0
Margate,Southeast Park,1,1,0,0,1,0,0,0
Margate,Southgate Park,0,1,0,0,1,0,0,0
Margate,Veterans Memorial Park,1,0,0,0,0,0,0,0
Margate,Vinson Park,1,1,0,0,1,0,0,0
Margate,Winfield Park,0,1,0,0,1,0,0,0
Miramar,19th Street Park,1,1,0,1,0,0,0,0
Miramar,Ansin Sports Complex,0,1,0,0,1,0,0,1
Miramar,Beauty Park,0,0,0,0,0,0,0,0
Miramar,Beekman Park,1,1,0,0,1,0,0,0
Miramar,Bernard Park,0,1,0,1,0,0,0,0
Miramar,Civic Center Park,1,0,0,1,0,0,0,0
Miramar,Country Club Ranches,1,1,0,1,0,0,0,0
Miramar,Fairway Park,0,1,0,1,1,0,0,0
Miramar,Flamingo Estates Park,0,1,0,0,1,0,0,0
Miramar,Forcina Field,0,0,0,0,1,0,0,0
Miramar,Forzano Field,0,1,0,0,1,0,0,0
Miramar,Harbour Lakes,0,0,0,1,0,0,0,0
Miramar,Historic Miramar Aquatic Complex,0,1,0,0,0,0,0,0
Miramar,Huntington Park North & South,1,1,0,0,0,0,0,0
Miramar,Island Park,1,1,1,0,0,0,0,0
Miramar,Lakeshore Park,1,0,0,1,1,0,0,0
Miramar,Linear Park North & South,0,0,0,0,0,0,0,0
Miramar,Miramar Athletic Park,0,0,0,0,1,0,0,0
Miramar,Miramar Isles Park,0,1,0,0,1,0,0,0
Miramar,Miramar Regional Park,1,1,0,0,1,0,0,0
Miramar,Monarch Lakes Park,1,0,0,1,0,0,0,0
Miramar,Perry Park-Wellman Field,0,1,0,0,1,0,0,0
Miramar,Progress Park,0,0,0,0,0,0,0,0
Miramar,River Run Park,1,1,1,1,1,0,0,1
Miramar,Sawyer Park,1,1,0,0,0,0,0,0
Miramar,Sheraton Park,0,1,0,0,1,0,0,0
Miramar,Shirley Branca Park,0,1,0,1,0,0,0,0
Miramar,Silver Lakes Sports Complex,0,0,0,1,1,0,0,0
Miramar,Silver Lakes Tennis Complex,0,1,0,0,1,0,0,0
Miramar,Silver Shores Park,1,1,0,0,1,0,0,0
Miramar,Veteran's Memorial Park,0,0,0,0,0,0,0,0
Miramar,Vizcaya Park,1,1,0,0,1,0,0,0
North Lauderdale,Bicentennial Park,1,1,0,0,0,0,0,0
North Lauderdale,Braeburn Park,0,0,0,0,1,0,0,0
North Lauderdale,Broadview Community Park,0,1,0,0,1,0,0,0
North Lauderdale,Carl Fusco Park,0,0,0,0,1,0,0,0
North Lauderdale,Champions Hall Park,0,0,0,0,0,0,0,0
North Lauderdale,Hampton Pines Park,1,1,1,1,1,0,0,0
North Lauderdale,Highland Park,0,1,0,0,1,0,0,0
North Lauderdale,Jaycee Park,1,1,0,0,0,0,0,0
North Lauderdale,Landings Park,1,0,0,0,1,0,0,0
North Lauderdale,North Lauderdale Field,0,0,0,0,1,0,0,0
North Lauderdale,North Lauderdale Sports Complex,0,0,0,0,1,0,0,0
North Lauderdale,Pompano Park,1,1,0,0,0,0,0,0
North Lauderdale,Silver Lakes Park,0,0,0,0,1,0,0,0
North Lauderdale,TOT Park,0,1,0,0,1,0,0,0
North Lauderdale,Veterans Memorial ,0,0,0,0,0,0,0,0
North Lauderdale,Woodville Park,0,0,0,0,0,0,1,0
Broward,Anne Kolb Nature Center,1,0,1,1,0,1,0,0
Broward,Boulevard Gardens Community Center,1,1,0,1,1,0,0,0
Broward,Brian Piccolo Sports Park & Velodrome,1,1,1,1,1,0,0,1
Broward,CB Smith Park,1,1,1,1,1,0,0,1
Broward,Central Broward Regional Park,1,0,1,1,1,0,0,0
Broward,Crystal Lake Sand Pine Scrub,0,0,0,1,0,1,0,0
Broward,Deerfield Highlands Nature Preserve,1,1,0,0,0,1,0,0
Broward,Deerfield Island Park,1,0,1,1,0,0,0,0
Broward,Dillard Green Space,0,0,0,1,0,0,0,0
Broward,Easterlin Park,1,1,1,1,1,0,0,0
Broward,Everglades Holiday Park,1,0,1,1,0,0,0,0
Broward,Fern Forest Nature Center,1,0,0,1,0,1,0,0
Broward,Franklin Park,1,1,0,1,1,0,0,1
Broward,Helene Klein Pineland Preserve,1,0,0,1,0,1,0,0
Broward,Herman and Dorothy Shooster Nature Preserve,1,0,0,1,0,1,0,0
Broward,Highlands Scrub Natural Area,1,0,0,1,0,1,0,0
Broward,Hollywood North Beach Park,1,0,1,1,0,0,0,0
Broward,Kristin Jacobs Natural Area at Hillsboro Pineland,0,0,1,1,0,1,0,0
Broward,Lafayette Hart Park,1,1,0,1,1,0,0,0
Broward,Lewis-Chisom Park,0,0,0,1,0,0,0,0
Broward,Long Key Natural Area and Nature Center,1,0,1,1,0,1,0,0
Broward,Markham Park,1,1,1,1,1,0,1,1
Broward,Military Trail Nature Area,0,0,0,1,0,1,0,0
Broward,Miramar Pineland Natural Area,1,1,1,1,0,0,0,0
Broward,Pine Island Ridge Natural Area,1,0,1,1,0,1,0,0
Broward,Plantation Heritage Park,1,1,1,1,0,0,0,1
Broward,Quiet Waters Park,1,1,1,1,1,0,1,0
Broward,Reverend Samuel Delevoe Memorial Park,1,1,1,1,1,0,0,1
Broward,Roosevelt Gardens Park,1,1,0,1,1,0,0,0
Broward,Saw Palmetto Natural Area,1,0,0,1,0,1,0,0
Broward,Secret Woods Park,1,0,0,1,0,1,0,0
Broward,Sewell Lock,0,0,1,0,0,0,0,0
Broward,Snake Warriors Island,1,0,1,1,0,1,0,0
Broward,South Fork Canoe Launch,0,0,1,1,0,0,0,0
Broward,Sunview Park,1,1,0,0,1,0,1,0
Broward,Topeekeegee Yugnee Park,1,1,1,1,1,0,0,1
Broward,Tall Cypress Natural Area,1,0,0,1,0,1,0,0
Broward,Tradewinds Park,1,1,1,1,1,0,0,0
Broward,Tree Tops Park,1,1,1,1,1,0,0,1
Broward,Vista View Park,1,1,1,1,0,0,0,1
Broward,Washburn Park,0,0,0,1,0,0,0,0
Broward,West Creek Pineland Natural Area,1,0,1,1,0,1,0,0
Broward,West Lake Park,1,1,1,1,1,0,0,0
Broward,William J. Kelley Park,0,0,1,1,0,1,0,0
Broward,Woodmont Natural Area,0,0,0,1,0,1,0,0
Oakland Park,Bark Park,0,0,0,0,0,0,1,0
Oakland Park,Cherry Creek Park,0,0,0,1,0,0,0,1
Oakland Park,Dr. Carter G. Woodson Park,1,1,0,1,1,0,0,0
Oakland Park,Greenleaf Park,1,1,0,0,1,0,0,0
Oakland Park,Jaco Pastorius Park,0,0,0,1,0,0,0,0
Oakland Park,Lakeside Sand Pine Preserve,1,0,0,1,0,1,0,0
Oakland Park,Lloyd Estates Park,1,1,0,0,0,0,0,0
Oakland Park,North Andrews Gardens Volunteer Park,0,0,0,1,0,0,0,0
Oakland Park,North Andrews Gardens Neighborhood Park,1,1,0,0,0,0,0,0
Oakland Park,Richard E. Giusti Heart Park,0,0,0,1,0,0,0,1
Oakland Park,Stevens Field,1,0,0,0,1,0,0,0
Oakland Park,Stunson Nature Trail,0,0,0,1,0,0,0,0
Oakland Park,Veterans Park,0,1,1,1,0,0,0,0
Oakland Park,Wimberly Fields Park,0,1,0,0,1,0,0,0
Parkland,Six Acre Woods Park,0,0,0,1,0,0,0,0
Parkland,Barkland Dog Park,0,0,0,0,0,0,1,0
Parkland,Covered Bridge Park,0,0,0,1,0,0,0,0
Parkland,Doris Davis Forman Wilderness Preserve,0,0,0,1,0,1,0,0
Parkland,Equestrian Center at Temple Park,1,0,0,0,0,0,0,0
Parkland,John H. Quigley Park - Parkland Tennis Center,0,0,0,0,1,0,0,0
Parkland,Liberty Park,1,1,0,0,0,0,0,0
Parkland,Pine Trails Park,1,1,0,1,1,0,0,0
Parkland,Terramar Park,1,1,0,1,1,0,0,0
Pembroke Pines,108th Avenue Park,0,1,0,0,0,0,0,0
Pembroke Pines,111th Avenue Park,0,1,0,0,0,0,0,0
Pembroke Pines,Alhambra Park,1,1,0,0,0,0,0,0
Pembroke Pines,Ashley Hale Park,0,1,0,0,1,0,0,0
Pembroke Pines,Ben Fiorendino Park,1,0,0,1,0,0,0,1
Pembroke Pines,Chapel Trail Park,1,1,0,0,1,0,0,0
Pembroke Pines,Chapel Trail Nature Preserve,1,0,1,1,0,1,0,0
Pembroke Pines,Cinnamon Place ,1,1,0,1,1,0,0,1
Pembroke Pines,Craig Rupp K-9 Dog Park,1,0,0,0,0,0,1,0
Pembroke Pines,Fahey Park,0,1,0,0,0,0,0,0
Pembroke Pines,Flamingo Park,1,1,0,0,1,0,0,0
Pembroke Pines,Fletcher Park,0,1,0,0,1,0,0,0
Pembroke Pines,Jack McCluskey Rainbow Park,0,1,0,1,1,0,0,0
Pembroke Pines,Linear Park,0,0,0,1,1,0,0,0
Pembroke Pines,Memorial Park,0,1,0,0,0,0,0,0
Pembroke Pines,Pasadena Park,1,1,0,0,1,0,0,0
Pembroke Pines,Paul J. Maxwell Park,1,1,0,0,1,0,0,0
Pembroke Pines,Pembroke Lakes Golf and Tennis Center,0,0,0,0,1,0,0,0
Pembroke Pines,Pembroke Shores Park,1,1,0,0,1,0,0,0
Pembroke Pines,Pines Recreation Center,1,1,0,0,1,0,0,0
Pembroke Pines,Raintree Park,0,0,0,1,0,0,0,0
Pembroke Pines,Rose G. Price Park,0,1,0,1,1,0,0,0
Pembroke Pines,Silver Lakes Park North,1,0,0,1,1,0,0,0
Pembroke Pines,Silver Lakes Park South,1,1,0,0,1,0,0,0
Pembroke Pines,Spring Valley Park,0,0,0,0,1,0,0,0
Pembroke Pines,Steven L. Josias Dog and Equestrian Park,1,0,0,0,0,0,1,0
Pembroke Pines,Tanglewood Park,1,1,0,0,1,0,0,0
Pembroke Pines,Towngate Park,0,1,0,0,1,0,0,1
Pembroke Pines,Walden Lakes Park,1,1,0,0,1,0,0,0
Pembroke Pines,Walnut Creek Park,1,1,0,0,1,0,0,0
Pembroke Pines,West Pines Soccer Park and Preserve,0,1,0,0,1,0,0,1
Pembroke Pines,William B. Armstrong Dream Park,1,0,0,1,0,0,0,0
Plantation,Plantation Central Park,1,1,1,1,1,0,0,1
Plantation,Coco Plum Park,0,1,0,0,0,0,0,0
Plantation,Country Club Park,1,1,0,1,0,0,0,1
Plantation,Deicke Park,1,1,0,1,1,0,0,1
Plantation,Fig Tree Park,1,1,0,0,1,0,0,0
Plantation,Fumpston Park,0,0,0,1,0,0,0,0
Plantation,Hoffman Park,0,0,0,0,1,0,0,0
Plantation,Jacaranda Lakes Park,0,1,0,1,1,0,0,1
Plantation,Jack Carter Harmony Park,0,1,0,1,0,0,0,0
Plantation,Jim Ward Park,1,1,0,1,1,0,0,0
Plantation,Marcano Estates Park,0,1,0,0,0,0,0,0
Plantation,Melaleuca Park,0,1,0,0,0,0,0,0
Plantation,Mini Park North,0,0,0,0,0,0,0,0
Plantation,Mini Park South,0,0,0,0,0,0,0,0
Plantation,Mirror Lake Park,0,1,0,0,1,0,0,0
Plantation,Multicultural Park,0,1,0,0,0,0,0,0
Plantation,PAL Park-Roy Salmon Stadium,0,0,0,0,1,0,0,0
Plantation,Park East Park,1,1,0,1,1,0,0,1
Plantation,Park East Trailhead,0,1,0,1,0,0,0,0
Plantation,Pine Island Park,0,0,0,1,1,0,0,0
Plantation,Plantation Acres,0,0,0,0,0,0,0,0
Plantation,Tara Park,0,1,1,0,0,0,0,0
Plantation,Plantation Botanical Garden,0,1,0,1,0,0,0,0
Plantation,Plantation Business Park,0,0,0,1,0,0,0,0
Plantation,Plantation North Acres,0,1,0,0,0,0,0,0
Plantation,Plantation Point Park,0,1,0,0,1,0,0,0
Plantation,Plantation Preserve Park & Linear Trail,0,1,0,1,0,0,0,1
Plantation,Plantation Woods-Kennedy Park,1,1,0,0,0,0,0,0
Plantation,Pop Travers Park,1,0,0,0,1,0,0,0
Plantation,Rae Carole Armstrong Liberty Tree Park,1,1,0,1,0,0,0,1
Plantation,Seminole Park,1,1,0,0,1,0,0,1
Plantation,South Bel Air Park,0,0,0,0,0,0,0,0
Plantation,Sunset Park,1,1,0,1,1,0,0,0
Plantation,Thrower Park,0,0,0,1,0,0,0,0
Plantation,Veterans Park,0,0,0,1,0,0,0,1
Plantation,Volunteer Park,1,1,1,1,1,0,0,0
Plantation,Woodbury Park,0,0,0,0,0,0,0,0
Pompano Beach,Annie Adderly Gillis Park,0,0,0,0,0,0,0,1
Pompano Beach,Apollo Park,1,1,0,1,1,0,0,0
Pompano Beach,Avondale Park,1,1,0,1,1,0,0,0
Pompano Beach,Canine Corner Dog Park,0,0,0,0,0,0,1,0
Pompano Beach,Centennial Park,0,0,0,0,0,0,0,0
Pompano Beach,Cresthaven Park,1,1,0,1,1,0,0,0
Pompano Beach,Coleman Park,0,1,0,0,0,0,0,0
Pompano Beach,Exchange Club Park,1,0,0,0,0,0,0,0
Pompano Beach,Fairview Park,1,1,0,0,1,0,0,0
Pompano Beach,Founders Park,0,1,0,0,1,0,0,0
Pompano Beach,Pompano Beach Golf Course,0,0,0,0,1,0,0,0
Pompano Beach,Harbor's Edge Park,1,1,0,1,0,0,0,0
Pompano Beach,Hillsboro Inlet Park,1,1,0,0,0,0,0,0
Pompano Beach,Highlands Park,1,1,0,0,1,0,0,0
Pompano Beach,Hunters Manor Park,1,1,0,1,1,0,0,1
Pompano Beach,George Brummer Park,0,1,0,0,1,0,0,1
Pompano Beach,Bill Keith Park,0,0,0,0,0,0,0,0
Pompano Beach,Indian Mound Park,0,0,0,0,0,0,0,0
Pompano Beach,Jackson Park,0,0,0,0,0,0,0,0
Pompano Beach,Kestler Field,1,1,0,1,1,0,0,0
Pompano Beach,Lake Santa Barbara Park,0,0,0,0,0,0,0,0
Pompano Beach,Lovely Park,0,1,0,0,0,0,0,0
Pompano Beach,Marine Drive Park,0,0,0,0,0,0,0,0
Pompano Beach,McNab Park,0,1,0,1,1,0,0,0
Pompano Beach,McNair Park & Recreation Center,0,1,0,1,1,0,0,1
Pompano Beach,Mitchell Moore Park-Westside Park,1,1,0,0,1,0,0,0
Pompano Beach,North Pompano Park,1,1,0,1,1,0,0,0
Pompano Beach,North Ocean Park,1,0,0,0,0,0,0,0
Pompano Beach,North Riverside Park,0,0,0,0,0,0,0,0
Pompano Beach,Sergeant Kip Jacoby Park,1,1,0,1,1,0,0,0
Pompano Beach,Novelty Park,1,1,0,0,0,0,0,0
Pompano Beach,Sand and Spurs Equestrian Park,1,0,0,0,0,0,0,0
Pompano Beach,Sandspur Park,1,1,0,0,0,0,0,0
Pompano Beach,Scott Winters Memorial Park,0,0,0,0,0,0,0,0
Pompano Beach,S.E. 13 Street Park,0,0,0,0,0,0,0,0
Pompano Beach,S.E. 15 Street Park,0,0,0,0,0,0,0,0
Pompano Beach,Sgt. Chris Reyka Memorial Park,0,0,0,0,0,0,0,0
Coral Springs,Coral Springs Aquatic Complex,1,0,0,0,1,0,0,1
Coral Springs,Betti Stradling Park,1,1,0,1,1,0,0,1
Coral Springs,Castlewood Park,1,1,1,0,1,0,0,0
Coral Springs,Chevy Chase North Park,0,0,1,0,0,0,0,0
Coral Springs,Chevy Chase South Park,1,0,0,0,0,0,0,0
Coral Springs,Countrywood Park,1,1,0,0,0,0,0,0
Coral Springs,Cypress Hammock,1,0,1,1,1,0,0,0
Coral Springs,Cypress Park,1,1,1,1,1,0,0,1
Coral Springs,Dede Gilmore Memorial Park,1,1,0,1,0,0,0,0
Coral Springs,Eagle Ridge Park,1,1,0,0,1,0,0,0
Coral Springs,Fern Glen Park,1,1,0,1,1,0,0,1
Coral Springs,Forest Hills Park,1,1,0,0,1,0,0,0
Coral Springs,Forest Hills West Park,1,0,0,0,0,0,0,0
Coral Springs,Jaycee Park,1,1,0,0,1,0,0,0
Coral Springs,Kiwanis Park,1,1,0,1,0,0,0,0
Coral Springs,Lakeview Park,1,1,1,1,0,0,0,0
Coral Springs,Lions Park,1,1,0,1,1,0,0,0
Coral Springs,Mullins Park,1,1,0,1,1,0,0,1
Coral Springs,North Community Park,1,1,1,1,1,0,0,0
Coral Springs,Orchid Park,1,0,1,1,0,0,0,0
Coral Springs,Paul Barre Memorial Park,1,1,0,0,1,0,0,0
Coral Springs,Paul Britton Park,1,1,0,0,1,0,0,0
Coral Springs,Pine Glen Park,1,0,0,0,0,0,0,0
Coral Springs,Poinciana Park,1,1,0,1,1,0,0,0
Coral Springs,Pride Promoters Park,1,1,0,0,1,0,0,0
Coral Springs,Ralph Diaz Memorial Park,1,0,0,1,0,0,0,1
Coral Springs,Richard D Petrillo Park,0,0,0,0,0,0,0,0
Coral Springs,Riverside Park,1,0,1,1,1,0,0,0
Coral Springs,Running Brooke Hills Park ,1,1,0,0,0,0,0,0
Coral Springs,Sandy Ridge Sanctuary,0,0,1,1,0,1,0,0
Coral Springs,Shadow Wood Park,0,0,1,0,0,0,0,0
Coral Springs,Sherwood Forest Park,1,1,0,1,1,0,0,0
Coral Springs,Sportsplex Athletic Complex,1,1,0,1,1,0,0,0
Coral Springs,Three Friends Park,0,0,1,1,0,0,0,0
Coral Springs,Three Mountains Natural Area,1,1,0,0,0,0,0,0
