Municipality,Park name,Pavilion/Picnic Area,Kids Playground,Body of Water,Jog/Walk Path,Athletic Facility,Nature Preserve,Dog Park,Indoor/Outdoor Fitness Center
Coral Springs,Turtle Run Park,1,1,0,0,1,0,0,0
Coral Springs,Village Green Park,1,1,0,1,1,0,0,0
Coral Springs,Volunteer Park,1,1,0,1,1,0,0,1
Coral Springs,Westchester Park,1,0,1,1,0,0,1,0
Coral Springs,Whispering Oaks Park,1,1,0,0,0,0,0,1
Coral Springs,Whispering Woods,1,1,0,1,0,0,0,0
Coral Springs,Windings Park,0,0,1,0,0,0,0,0
Dania Beach,Chester Byrd Park,0,1,0,1,1,0,0,1
Dania Beach,CW Thomas Park,1,1,0,1,1,0,0,1
Dania Beach,Dania Beach Marina,0,0,1,0,0,0,0,0
Dania Beach,Dania Cove Park,1,0,1,1,0,0,0,0
Dania Beach,Frank C. Tootie Adler Park,1,1,1,0,1,0,0,0
Dania Beach,Frost Park,1,1,0,1,1,0,0,1
Dania Beach,Griffin Marine Park,0,0,1,0,0,0,0,0
Dania Beach,I.T. Parker Center,0,0,1,0,0,0,0,0
Dania Beach,Linear Park,1,0,0,1,0,0,0,1
Dania Beach,Mildred V. Jones Park,1,0,1,0,0,0,0,0
Dania Beach,Mullikin Park,0,1,0,0,1,0,0,0
Dania Beach,Northside Garden Park,0,1,0,0,0,0,0,0
Dania Beach,Ocean Park Beach,1,0,1,1,0,0,0,0
Dania Beach,Meli-Griffin Park,1,1,0,0,1,0,1,1
Dania Beach,Southwest Community Center,0,0,0,0,0,0,0,0
Dania Beach,Tigertail Lake Park,1,0,1,0,1,0,0,1
Dania Beach,Whiskey Creek Hideout,1,0,1,1,0,0,0,0
Deerfield Beach,Ada Graham-Johnson Park,1,1,0,0,1,0,0,0
Deerfield Beach,Branhilda Richardson-Knowles Memorial Park,0,0,0,1,0,0,0,0
Deerfield Beach,Central Crystal Heights,1,1,0,0,0,0,0,0
Deerfield Beach,Constitution & Arboretum Park,1,0,0,1,1,0,0,1
Deerfield Beach,Cornerstone Park,1,1,0,1,0,0,0,0
Deerfield Beach,Deer Run East,1,1,0,0,1,0,0,0
Deerfield Beach,Ecidar Park,1,1,0,1,1,0,0,0
Deerfield Beach,Highlands Park,1,1,0,1,1,0,0,0
Deerfield Beach,Hillsboro Community Center,1,0,0,1,0,0,0,0
Deerfield Beach,Johnie McKeithen Park,1,1,1,1,1,0,1,1
Deerfield Beach,Kirk Cottrell Pavilion,1,0,0,0,1,0,0,0
Deerfield Beach,Marty Popelsky Park,0,0,0,0,0,0,0,0
Deerfield Beach,Mayo Howard Park,1,1,0,1,1,1,1,1
Deerfield Beach,Memorial Cemetery,0,0,0,0,0,0,0,0
Deerfield Beach,Middle School Athletic & Aquatic Complex,1,0,0,0,1,0,0,0
Deerfield Beach,North Crystal Heights,1,1,0,1,0,0,1,0
Deerfield Beach,Oveta McKeithen Recreational Complex,1,1,0,1,1,0,1,1
Deerfield Beach,Pastor Willie James Ford Sr. Linear Park,0,0,0,1,0,0,0,0
Deerfield Beach,Pineview Cemetery,0,0,0,0,0,0,0,0
Deerfield Beach,Pioneer Park,1,1,1,1,1,0,0,0
Deerfield Beach,Riverglen Park,1,1,0,0,0,0,0,0
Deerfield Beach,Riverview Park,0,0,0,0,0,0,0,0
Deerfield Beach,SE 15th St Park,0,0,0,0,0,0,0,0
Deerfield Beach,SE 19th Ave. Park,1,1,0,0,1,0,1,0
Deerfield Beach,South Crystal Heights,1,1,0,0,1,0,1,0
Deerfield Beach,Sullivan Park,1,1,1,0,0,0,0,0
Deerfield Beach,Teen Center,0,0,0,0,1,0,0,1
Deerfield Beach,Tivoli Sand Pines Preserve,1,0,0,1,0,1,0,0
Deerfield Beach,Trailhead Linear Park,0,0,0,1,0,0,0,0
Deerfield Beach,Trailhead Park,1,1,0,0,0,0,0,0
Deerfield Beach,Villages of Hillsboro Park,1,1,1,1,1,0,1,1
Deerfield Beach,Wedding Deck,1,0,0,0,0,0,0,0
Fort Lauderdale,4201 N. Ocean Blvd,0,0,0,0,0,0,0,0
Fort Lauderdale,520 SW 31st Ave,0,0,0,0,0,0,0,0
Fort Lauderdale,Ann Herman Park,1,1,1,1,0,0,0,0
Fort Lauderdale,Annie Beck Park,0,0,1,1,0,0,0,0
Fort Lauderdale,Bass Park,1,1,0,0,1,0,0,1
Fort Lauderdale,Bayview Park,1,1,0,0,1,0,0,0
Fort Lauderdale,Beach Community Center,0,0,0,0,0,0,0,0
Fort Lauderdale,Benenson Park,0,0,0,0,1,0,0,0
Fort Lauderdale,Bill Keith Preserve,1,0,1,1,0,1,0,0
Fort Lauderdale,Bryant Peney Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Bubier Park,1,0,1,1,0,0,0,0
Fort Lauderdale,Carter Park-Sunland Park,1,1,0,1,1,0,0,1
Fort Lauderdale,Cliff Lake Park,0,0,1,0,0,0,0,0
Fort Lauderdale,Colee Hammock Park,1,0,1,0,0,0,0,0
Fort Lauderdale,Coontie Hatchee Park,1,1,1,1,0,0,0,1
Fort Lauderdale,Coral Ridge Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Croissant Park,0,0,0,0,1,0,0,1
Fort Lauderdale,Cypress Creek Sand Pine Preserve,0,0,0,0,0,1,0,0
Fort Lauderdale,D.C. Alexander Park,1,1,1,1,0,0,0,0
Fort Lauderdale,Dottie Mancini Park,1,1,0,1,1,0,0,0
Fort Lauderdale,Dr. Elizabeth Hays Civic Park,1,1,0,1,0,0,0,0
Fort Lauderdale,Earl Lifshey Park,0,0,1,1,0,0,0,0
Fort Lauderdale,Esplanade Park,1,0,1,1,0,0,0,0
Fort Lauderdale,Esterre Davis Wright Park,1,1,0,1,0,0,0,0
Fort Lauderdale,Evergreen Cemetery,0,0,0,0,0,0,0,0
Fort Lauderdale,Flamingo Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Floranda Elementary School Park,1,1,0,0,1,0,0,0
Fort Lauderdale,Floyd Hull Stadium,1,1,0,0,1,0,0,1
Fort Lauderdale,Fort Lauderdale Beach Park,1,1,1,0,1,0,0,0
Fort Lauderdale,Francis L. Abreu Place,0,0,1,0,0,0,0,0
Fort Lauderdale,George English Park,1,1,1,1,1,0,0,1
Fort Lauderdale,Gore Betz Park,1,1,0,1,0,0,0,1
Fort Lauderdale,Greenfield Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Guthrie Blake Memorial Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Harbordale Park,1,1,0,0,0,0,0,1
Fort Lauderdale,Florence C. Hardy Park,1,1,0,1,1,0,0,0
Fort Lauderdale,Hector Park,1,0,0,0,0,0,0,0
Fort Lauderdale,Holiday Park,1,1,0,1,1,0,1,1
Fort Lauderdale,Hortt Park,0,1,0,1,1,0,0,1
Fort Lauderdale,Idlewyld Park-Merle Fogg Park,1,0,1,0,0,0,0,0
Fort Lauderdale,Imperial Point Entranceway,0,0,0,0,0,0,0,0
Fort Lauderdale,Jack and Harriet Kaye Park,0,0,0,0,0,0,0,0
Fort Lauderdale,Las Olas Oceanside Park,0,0,1,1,0,0,0,0
Fort Lauderdale,Lauderdale Manors Park,1,1,0,0,1,0,0,0
Fort Lauderdale,Lauderdale Memorial Park Cemetery,0,0,0,1,0,0,0,0
Fort Lauderdale,Lauderdale Villas Entranceway,0,0,0,0,0,0,0,0
Fort Lauderdale,Lewis Landing Park,1,0,1,1,0,0,0,0
Fort Lauderdale,Lincoln Park,1,1,0,1,1,0,0,0
Fort Lauderdale,Little Lincoln Park,0,0,0,0,0,0,0,0
Fort Lauderdale,Lockhart Park,0,0,0,0,1,0,0,0
Fort Lauderdale,Loggerhead Park,1,0,1,0,0,0,0,0
Fort Lauderdale,Lu Deaner Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Major William M. Lauderdale Park,1,0,0,0,0,0,0,0
Fort Lauderdale,Mangurian Park-Coral Ridge Country Club,1,1,0,1,0,0,0,1
Fort Lauderdale,Marshall Point,1,0,0,0,1,0,0,0
Fort Lauderdale,Middle River Terrace Park,1,0,0,1,0,0,0,0
Fort Lauderdale,Mills Pond Park,1,1,1,0,1,0,0,0
Fort Lauderdale,Mitchell Family Park,0,0,0,0,0,0,0,0
Fort Lauderdale,Northfork Riverfront Park,1,0,0,0,0,0,0,0
Fort Lauderdale,Osswald Park,1,1,0,1,1,0,0,1
Fort Lauderdale,Palm Aire Park,0,1,0,0,0,0,0,0
Fort Lauderdale,Palm Aire Village Park,1,1,0,1,1,0,0,0
Fort Lauderdale,Peter Feldman Park,1,1,0,1,0,0,0,0
Fort Lauderdale,Poinciana Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Provident Park,1,0,0,0,0,0,0,0
Fort Lauderdale,Purple Pickle Park,0,0,0,0,0,0,0,0
Fort Lauderdale,Riverland Park,1,1,0,1,1,0,0,1
Fort Lauderdale,Riverland Preserve,0,0,0,0,0,1,0,0
Fort Lauderdale,Riverland Woods Park,1,1,1,1,0,1,1,1
Fort Lauderdale,Riverside Park,1,1,0,0,1,0,0,0
Fort Lauderdale,Riverwalk Linear Park,1,0,1,1,0,0,0,0
Fort Lauderdale,Sailboat Bend Preserve,0,0,0,0,0,1,0,0
Fort Lauderdale,Sara Horn Greenway,0,0,1,0,0,0,0,0
Fort Lauderdale,Shirley Small-Melrose Park,1,1,0,1,1,0,0,0
Fort Lauderdale,Sistrunk Park,0,1,0,0,1,0,0,0
Fort Lauderdale,Smoker Park,1,0,1,1,0,0,0,0
Fort Lauderdale,Snyder Park,1,1,1,1,1,0,0,0
Fort Lauderdale,South Intracoastal Park,0,0,0,1,0,0,0,0
Fort Lauderdale,South Middle River Park,1,1,0,1,0,0,0,1
Fort Lauderdale,Stranahan Park,1,0,0,0,0,0,0,0
Fort Lauderdale,Sunset School Park,1,1,0,0,1,0,0,0
Fort Lauderdale,SW 5th Ct and SW 12th Ave Park,0,0,1,0,0,0,0,0
Fort Lauderdale,Sweeting Park,1,0,1,0,0,0,0,0
Fort Lauderdale,Tarpon Cove Park,0,0,1,0,0,0,0,0
Fort Lauderdale,Tarpon River Park,0,0,1,0,0,0,0,0
Fort Lauderdale,Townsend Park,0,0,1,0,0,0,0,0
Fort Lauderdale,Tranquility Park,0,0,0,0,0,0,0,0
Fort Lauderdale,Twin Lakes North Park,1,1,0,1,0,0,0,0
Fort Lauderdale,Victoria Park,1,0,1,0,0,0,0,0
Fort Lauderdale,Virginia Shuman Young Elementary Park,1,1,0,0,1,0,0,0
Fort Lauderdale,Virginia Young Park,1,1,0,0,0,0,0,0
Fort Lauderdale,Vista Park,1,0,1,0,0,0,0,0
Fort Lauderdale,Walker Park (Walker Elementary School),1,1,0,0,1,0,0,0
Fort Lauderdale,Warbler Wetlands,0,0,0,0,0,1,0,0
Fort Lauderdale,Warfield Park,1,1,0,0,1,0,0,0
Fort Lauderdale,Waverly Property,0,0,1,0,0,0,0,0
Fort Lauderdale,Welcome Park,0,0,0,0,0,0,0,0
Fort Lauderdale,Westwood Heights Triangle Park (Westwood Heights Elementary School),0,0,0,0,0,0,0,0
Fort Lauderdale,Willingham Park,0,0,0,0,0,0,0,0
Hallandale Beach,B.F. James Park and Pool,1,1,0,1,1,0,0,0
Hallandale Beach,Curci House-Historical Village ,0,0,0,0,0,0,0,0
Hallandale Beach,Foster Park & Plaza,1,1,0,1,1,0,0,1
Hallandale Beach,Golden Isles Park ,1,1,0,1,1,0,1,0
Hallandale Beach,Gulfstream Academy (HACC) Athletic Fields,0,1,0,0,1,0,0,0
Hallandale Beach,Ingalls Park,1,1,0,1,1,0,0,0
Hallandale Beach,Joseph Scavo Park,1,1,0,1,1,0,1,1
Hallandale Beach,OB Johnson Park,1,1,0,1,1,0,0,1
Hallandale Beach,Hallandale City Park,1,1,0,1,1,0,0,0
Hallandale Beach,South City Beach Park,1,1,1,0,1,0,0,0
Hallandale Beach,Sunrise Park,1,1,0,1,0,0,0,1
Hallandale Beach,Sunset Park,1,1,0,1,0,0,0,0
Hollywood,Anniversary Park,1,1,0,0,0,0,0,0
Hollywood,Bicentennial Park,0,1,0,1,1,0,0,1
Hollywood,Bob Butterworth Park,0,0,0,0,0,0,0,0
Hollywood,Carlton Montayne Park,1,1,0,1,0,0,0,0
Hollywood,Cathy & Bob Anderson Park,1,1,0,0,1,0,0,0
Hollywood,Charnow Park-Historical Paddleball Courts,1,1,1,0,1,0,0,0
Hollywood,Earl Crofford Park,0,0,0,1,0,0,0,0
Hollywood,Emerald Hills Lakes Park & Dog Park,0,1,0,1,1,0,1,0
Hollywood,Eppelman Park,1,1,0,0,0,0,0,0
Hollywood,Fletcher Street Park,0,1,0,0,0,0,0,0
Hollywood,Harry Berry Park,1,1,0,0,1,0,0,0
Hollywood,Henry L. Graham Park,0,1,0,0,0,0,0,0
Hollywood,Holland Park,1,0,1,1,0,0,0,0
Hollywood,Hollywood West Skate Park,1,0,0,0,1,0,0,0
Hollywood,Jefferson Park,1,1,0,0,1,0,0,0
Hollywood,Joe DiMaggio Park,1,1,1,1,0,0,0,1
Hollywood,John B. Kooser Memorial Park & Exercise Trail,0,1,0,0,0,0,0,0
Hollywood,John Williams Park-Sheridan Oak Forest,1,1,0,1,0,1,1,0
Hollywood,Kiwanis Park,1,1,0,1,0,0,0,0
Hollywood,Keating Park,1,1,1,0,0,0,0,0
Hollywood,Lions Park,0,0,1,1,0,0,0,0
Hollywood,Lincoln Park,1,1,0,1,1,0,0,0
Hollywood,Mara Berman Giulianti Park in Emerald Hills,1,1,0,0,1,0,0,0
Hollywood,Montella Park,1,0,0,1,0,0,0,0
Hollywood,Oakwood Hills Park,0,0,1,1,0,0,0,0
Hollywood,Oak Lake Park,1,1,1,1,0,0,0,0
Hollywood,Oakridge Park & Dog Park,1,1,0,1,0,0,1,0
Hollywood,Poinciana Park & Poinciana Dog Park,1,1,0,1,1,0,1,0
Hollywood,Rainbow Tot Lot,0,1,0,0,0,0,0,0
Hollywood,Rose's Garden,0,1,0,1,0,0,0,1
Hollywood,Rotary Park,1,1,1,1,1,0,0,0
Hollywood,Sailor's Point,1,0,1,0,0,0,0,0
Hollywood,Sal Oliveri Veterans Park,1,1,0,1,0,0,0,0
Hollywood,Stan Goldman Memorial Park,1,1,1,1,1,0,1,1
Hollywood,Seminole Park,0,1,0,1,1,0,0,0
Hollywood,Charles F. Vollman Park,0,0,0,1,0,0,0,0
Hollywood,Water View Park,0,0,1,0,0,0,0,0
Hollywood,Zinkil Park,1,1,0,1,0,0,0,1
Lauderhill,17th Street Park,0,0,0,1,0,0,0,0
Lauderhill,Boulevard Woods Park,0,1,0,0,0,0,0,0
Lauderhill,Herbert Sadkin Community Center,1,0,0,0,1,0,0,1
Lauderhill,Ilene Lieberman Botanical Gardens,1,1,1,1,0,0,0,0
Lauderhill,Jackie Gleason Park,1,1,0,1,1,0,0,0
Lauderhill,James D. Bradley Jr. Park,0,0,0,1,0,0,0,0
Lauderhill,John E. Mullin Park & The Lauderhill Aquatic Center,1,1,1,1,1,0,0,1
Lauderhill,Lauderhill 6-12 School Field,0,0,0,0,1,0,0,0
Lauderhill,Lauderhill Golf Course,1,0,0,1,1,0,0,0
Lauderhill,Lauderhill Sports Park,1,1,1,1,1,0,0,1
Lauderhill,Maye Frances Brooks Jenkins Park,0,1,0,1,0,0,0,0
Lauderhill,Meditation Park,0,0,0,1,0,0,0,0
Lauderhill,Renaissance Park,0,1,0,1,0,0,0,0
Lauderhill,Ruth Rothkopf Park,0,1,0,1,0,0,0,1
Lauderhill,South Gateway Park,0,0,1,1,0,0,0,1
Lauderhill,St. George Community Park,1,1,0,1,1,0,0,1
Lauderhill,Veterans Park,1,1,0,0,1,0,0,1
Lauderhill,Walter Wally Elfers Park & Lauderhill Historical Museum,0,1,0,1,0,0,0,0
Lauderhill,Waterford Park,0,0,0,1,1,0,0,0
Lauderhill,West Ken Lark Park,1,1,0,1,1,0,0,1
Lauderhill,Westwind Park,0,1,1,1,1,0,0,1
Lauderhill,Windermere Community Center,0,1,0,0,1,0,0,0
Lauderhill,Wolk Park,1,1,1,1,1,0,0,0
Sunrise,City Park,1,1,0,1,1,0,0,1
Sunrise,Cypress Preserve Park,1,1,0,1,1,0,0,1
Sunrise,Flamingo Park,0,1,0,1,1,0,0,0
Sunrise,Flamingo Road Linear Park,1,0,0,1,0,0,0,1
Sunrise,Lakeside Park,0,0,1,1,0,0,0,0
Sunrise,Nob Hill Soccer Club Park,1,0,0,0,1,0,0,0
Sunrise,Oak Hammock-Passive Park,1,1,1,1,0,0,0,0
Sunrise,Oscar Wind Park,1,1,0,1,1,0,0,1
Sunrise,Pawgrass at Welleby Park,1,0,0,1,0,0,1,0
Sunrise,Sawgrass Sanctuary Park,1,0,1,1,0,0,0,0
Sunrise,Shotgun Road Linear Park,0,0,1,1,0,0,0,1
Sunrise,Sunrise Athletic Complex,0,1,0,0,1,0,0,1
Sunrise,Sunrise Golf Village Park,0,0,0,0,0,0,0,0
Sunrise,Sunrise Sportsplex,0,1,0,1,1,0,0,0
Sunrise,Sunrise Tennis Club,1,0,0,0,1,0,0,0
Sunrise,The Bridges at Springtree Golf Club,0,0,0,0,1,0,0,0
Sunrise,Village Square Park,0,0,0,0,0,0,0,0
Sunrise,Welleby Park,1,1,1,1,0,0,1,0
Tamarac,Caporella Aquatic Center,1,1,0,0,0,0,0,1
Tamarac,Caporella Park,1,1,1,0,0,0,0,0
Tamarac,Mainlands Park,1,0,1,1,0,0,0,1
Tamarac,Sunset Point Park,1,1,0,1,0,0,0,1
Tamarac,Swim Central Annex Park,1,1,1,1,0,0,0,0
Tamarac,Tamarac Recreation Center,1,1,0,0,1,0,0,1
Tamarac,Tamarac Sports Complex,1,1,0,1,1,0,0,0
Tamarac,Tamarac Veterans Park-Dog Park,1,0,1,1,0,0,1,0
Tamarac,Tephford Park,1,1,1,1,0,0,0,0
Tamarac,Waters Edge Park,1,1,1,1,1,0,0,1
Weston,Bonaventure Park,0,1,0,0,1,0,0,1
Weston,Country Isles Park,1,1,0,1,0,0,1,0
Weston,Eagle Point Park,0,1,1,1,1,0,1,0
Weston,Emerald Estates Park,1,1,1,1,1,0,1,1
Weston,Gator Run Park,1,1,0,1,1,0,1,0
Weston,Heron Park,0,0,0,0,1,0,1,0
Weston,Indian Trace Park,1,1,0,1,1,0,1,1
Weston,Library Park,1,0,0,1,0,0,1,0
Weston,Peace Mound Park,1,1,1,1,0,0,1,0
Weston,Regional Park,1,0,0,1,1,0,0,0
Weston,Tequestra Trace Park,1,1,0,1,1,0,1,0
Weston,Town Center Park,0,0,1,1,0,0,0,0
Weston,Vista Park,1,1,0,0,1,0,0,0
Weston,Weston Racquet Club ,1,0,0,0,1,0,0,0
Weston,Windmill Ranch Park,0,1,0,0,1,0,1,0
West Park,McTyre Park,1,1,0,1,1,0,0,1
West Park,Mary Saunders Park,1,1,0,1,1,0,0,0
West Park,Water Tower Park,1,1,0,0,0,0,0,0
Wilton Manors,Colohatchee Park,1,0,0,1,0,0,1,1
Wilton Manors,Donn Eisele Park,1,0,1,0,0,0,0,0
Wilton Manors,Hagen Park,1,0,0,1,1,0,0,1
Wilton Manors,Island City Park Preserve,1,1,0,1,1,0,0,0
Wilton Manors,M.E. DePalma Park,1,0,0,0,0,0,0,0
Wilton Manors,Mickel Park,1,1,0,0,0,0,0,1
Wilton Manors,Richardson Historic Park and Nature Preserve,1,0,1,1,0,0,0,0
Davie,Davie Pine Island Park,1,1,0,1,1,0,0,1
Davie,Bergeron Park,1,1,0,1,0,0,0,0
Davie,Berman Park,1,1,0,0,1,0,0,0
Davie,Betty Booth Roberts Park,1,1,0,1,1,0,0,0
Davie,Driftwood Estates Park,1,1,0,0,1,0,0,0
Davie,East Davie Nature Park,1,1,0,1,0,0,0,0
Davie,Falcon Lea Park,1,1,0,0,0,0,0,0
Davie,Firefighters Park,0,1,0,1,0,0,0,0
Davie,James Ale Memorial Park,0,0,0,0,0,0,0,0
Davie,Joy Yoder Equestrian-West View Park,1,0,0,1,0,0,0,0
Davie,Lange Park,1,1,0,0,0,0,0,0
Davie,Liberty Park,0,1,0,1,1,0,0,0
Davie,Orange Drive Linear Park,1,0,0,0,0,0,0,0
Davie,Math Igler Citrus Park,1,1,0,1,0,0,0,0
Davie,Oak Hill Equestrian Park,1,1,0,0,1,0,0,0
Davie,Owls Lookout Park,1,0,0,1,0,0,0,0
Davie,Palomino Park,1,1,0,1,0,0,0,0
Davie,Peaceful Ridge Park,0,0,0,0,0,0,1,0
Davie,Potter Park,1,1,0,0,1,0,0,1
Davie,Reflections Park,1,1,0,1,1,0,0,0
Davie,Robbins Preserve,1,1,0,0,0,0,0,0
Davie,Shenandoah Park,1,1,0,1,1,0,0,0
Davie,Silver Lake Park,1,0,1,1,0,1,0,0
Davie,Sunny Lake Bird Sanctuary,1,0,1,1,0,0,0,1
Davie,The Park at Waverly,1,1,0,1,1,0,0,0
Davie,Veterans Park,1,1,1,0,0,0,0,0
Davie,Waterford Park,1,1,0,1,1,0,0,0
Davie,Wes Griffin Park,1,1,0,1,1,0,0,0
Davie,Westridge Park,0,0,0,1,0,1,0,0
Davie,Wolf Lake Park,1,0,1,1,0,1,0,0
Lauderdale by the Sea,El Prado Park,1,0,1,0,0,0,0,0
Lauderdale by the Sea,Friedt Park,1,1,0,0,1,0,0,0
Lauderdale by the Sea,Washingtonia Park,1,0,1,0,0,0,0,0
Pembroke Park,Patrick Behan Park,1,1,0,0,0,0,0,0
Pembroke Park,Raymond P. Olgesby Preserve-Pembroke Park Preserve,1,1,0,1,0,0,1,1
Southwest Ranches,Sunshine Ranches Equestrian Park,1,1,0,1,1,0,1,0
Southwest Ranches,Trailside Park,1,0,1,1,0,0,1,0
Southwest Ranches,Southwest Meadows Sanctuary,0,0,0,1,0,1,1,0
Southwest Ranches,Calusa Corners Park,0,0,0,1,0,0,0,0
Southwest Ranches,Rolling Oaks Park,0,0,0,1,0,0,1,0
Southwest Ranches,Country Estates Fishing Hole Park,1,1,0,1,1,0,0,0
Southwest Ranches,Frontier Trails Park,0,0,0,1,0,1,0,0
